sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
2360,3637,16183,18744,32273,10496,9220,47335,4885,13059,52224,62752
5176,5941,18999,21816,33809,9472,7940,48615,2581,16131,56576,9249
50743,52276,64566,2104,23057,9728,16132,40423,11541,16643,63232,5409
28984,29493,42295,45880,43025,10496,6916,44775,16661,20483,57600,1825
39992,40245,53047,57144,46353,11520,9476,44007,5909,17667,52992,63264
55095,57140,3639,6712,27409,9984,11780,47847,9493,15363,55296,2081
15928,16437,29495,33592,33553,9984,15620,61159,9749,14595,57856,64544
23608,23605,36919,40760,38673,9984,16132,40679,16661,15619,54272,289
1336,3381,15159,18488,32529,10240,21252,49639,11285,19203,54528,65312
65079,565,13367,16440,29457,9728,17156,38375,10773,21507,62976,57120
20792,22325,34615,38200,37905,10240,16132,44519,18709,15875,49920,63520
22840,23093,36407,39736,39953,10240,19460,37351,12821,13059,56064,64032
5432,8757,18999,22328,35345,11264,33540,34023,12565,16387,54016,63776
48184,47157,61239,65336,49937,10496,25860,46567,10517,14339,56320,62752
10808,11829,24375,27704,36881,10496,34052,41447,5141,26371,49152,63264
13368,14389,26679,30776,37649,9984,28164,41191,7701,20227,57600,61472
22328,22837,35639,39480,40465,9984,31236,52455,6165,15107,62208,56608
64823,821,12855,15928,33041,10240,34052,38375,10773,20227,48896,58656
23096,23605,36407,40504,42257,9984,37124,45287,14613,13571,46080,62240
3640,5173,17207,20536,35089,9728,36356,42983,14869,13827,49664,62496
55863,57652,4407,7736,30993,12288,34052,52711,24597,14339,1793,55840
30264,29749,43063,46904,45585,10240,35844,42983,15637,20227,46080,52256
13624,14389,26935,30776,39441,9984,37892,38375,15125,16643,51200,46880
16696,16693,30519,33848,40977,9728,34564,47847,14869,9475,59904,51488
19000,20277,32311,36152,43025,10752,34052,47847,21269,15363,47104,64800
62007,63284,10295,13624,34577,9472,42500,44263,14613,19715,48640,59680
61495,63028,9783,13112,33297,9728,28676,44519,12565,18179,51200,49696
57655,59444,5687,9016,30225,12544,37636,51431,13077,19715,50688,64288
31288,31541,44599,48440,46097,10496,32260,38375,10517,13571,46080,61984
54583,56628,3127,6200,29969,10240,36356,41959,12565,14595,48640,58912
16184,16693,29751,33336,39441,9984,34308,43239,4373,25091,52736,61984
64567,1077,12599,15928,32273,10752,34308,40423,64020,19203,43776,55840
