sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
2869,47666,27706,40249,54553,9984,55049,22786,4895,59651,23809,57632
5173,50226,30266,42553,57881,9728,56073,24066,543,54787,20225,59680
15669,61746,42298,54585,65049,14848,56329,20738,799,60931,19457,59936
40501,20019,3387,15418,12570,10496,56585,22274,7455,61187,24577,63520
24117,3891,50746,63033,3610,10240,51465,20738,31,56835,22529,1313
22325,2355,48954,61497,4634,10240,64009,15106,6431,61955,27137,62752
27957,7731,55354,2106,8730,10240,61705,19970,63006,55043,27137,58656
26165,5427,53050,58,6170,10240,10,22018,6943,58115,27393,65056
41013,19763,3899,15930,15642,10752,55817,23810,1055,54275,33025,57888
62516,43058,21818,34361,56857,13056,2314,13058,64798,516,33025,63264
25909,6195,53050,65081,7706,10752,65033,26370,4895,63491,23553,4129
26165,5939,53050,65337,8730,10240,2826,24322,7199,64515,28929,64544
56628,36402,14138,27193,54041,12032,4362,11522,9503,1284,23297,33
50740,30770,7738,20793,49433,10496,7946,18946,3615,4868,23297,65312
