sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
300,12593,53555,7479,30491,10496,61958,24598,1301,39429,47105,47136
2860,14897,57907,11575,32027,9472,14599,36886,11029,35589,51201,39200
22316,37425,15412,35383,46107,11008,23815,40726,9237,35333,51201,52768
23084,39473,17460,37175,44315,11264,26887,36630,5141,13317,32513,61216
28204,45361,23348,44087,45339,9984,30727,34838,277,14341,50945,1313
9772,23345,2356,21815,34331,12800,20487,30230,56084,19461,52993,51232
1580,12081,59443,12343,26651,9728,28935,27414,3349,24837,48897,32288
52523,58928,41779,59446,17435,9984,20487,26902,6165,20229,54785,21024
27436,42289,24372,44343,44315,9984,6663,30998,6421,20741,51201,24352
61483,4401,54323,5943,21019,9472,12807,37398,4885,19205,50433,23840
50987,60464,43827,62262,9755,9984,5127,47894,4117,13573,58881,28704
28204,44593,28980,48439,38939,12800,8199,37142,6933,15621,56065,21280
11564,25905,11828,29751,27931,9728,9223,44822,16149,13573,52225,19232
15660,29233,15412,34359,28955,10752,18439,36630,6677,14853,55809,26912
50475,61232,49203,64822,7963,9984,31495,33302,6677,10501,54273,20256
6188,21809,11060,27703,25627,10496,29959,44310,5141,14085,48641,14624
46635,58416,48691,62774,8731,12288,11015,40726,2581,16389,47361,18208
58923,8497,1844,17207,20507,10240,62982,40470,1045,30981,2050,16160
16940,37169,31284,47671,36123,12800,6407,37142,4117,27141,64257,24864
1068,18737,13876,29751,25883,9728,12551,41494,6421,29957,4354,10528
3628,23089,20276,35895,29211,10752,8455,46102,7445,26885,11010,4640
44843,62000,56371,5943,14363,9728,263,57110,277,32517,12034,5920
49451,817,59699,10807,17435,10240,7,59414,64788,35845,12546,17952
55339,3889,2100,18231,16411,9216,1799,60950,6421,34565,60417,24608
44075,57136,54579,5175,6939,8704,519,57110,63764,31237,50177,31776
3884,21809,16692,35127,32283,10752,9991,60182,6677,28421,2,34592
57131,5937,64819,18487,21275,10240,9223,57366,14357,36357,1026,34848
63275,11313,5684,25143,18971,10240,29703,61974,10261,25861,60161,27424
57643,3633,64819,18999,16411,14848,11271,4375,64020,27141,3842,13344
6188,22577,19508,38455,27419,11008,13319,62742,8981,27909,11010,12064
44,20017,17460,36151,24091,12800,61190,53526,64276,29189,6402,2336
64811,15665,12852,31031,18715,9728,64262,60694,62996,43525,1538,51487
20268,36913,35636,55095,34331,9728,6919,59926,2069,36613,8194,46111
37931,53808,47923,64310,2843,9984,10503,65302,60180,44293,14594,50207
1836,22833,16692,34871,29211,12032,10247,65302,2837,42501,6146,59167
2092,21553,15924,34615,30747,9728,25351,7959,64020,41477,6146,5408
1836,24113,18484,37687,30235,11008,17415,9751,4629,41221,3330,20768
57387,19249,11572,29751,24091,12288,7943,63766,2837,50437,514,34336
60459,23601,16692,35127,21787,10752,12807,57110,5653,54533,3074,36384
