sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
33077,19249,6967,26425,11291,10752,44296,29954,8735,20739,22017,46368
18997,3889,57910,11065,2331,9984,41992,27906,9759,20483,15873,52256
3637,56112,42038,59960,59418,10496,38920,24066,11295,25091,15361,49952
27957,13361,1335,20793,5915,10240,42248,23554,7967,15619,19713,48160
13365,305,51766,4665,63258,14080,38920,25602,15135,22019,8449,45856
56628,43568,28726,46392,50970,9728,38408,23554,17695,24067,18177,53024
60468,47664,32566,50232,54298,9984,42504,30978,64030,31491,20225,53024
28725,13873,1847,21561,7707,11520,41736,23042,799,17155,19201,54304
22837,7473,60982,14649,2331,9984,41480,23042,7455,21251,9729,51488
1589,53296,39734,58168,55322,9984,39944,25858,9759,14339,13313,53792
25909,11569,64566,17977,3099,9728,35336,34818,9503,13315,16897,59168
9269,61488,47670,825,57370,9728,38920,27650,543,22019,18945,53792
55861,41009,29751,49721,21787,11008,40712,23042,3359,20995,1,53024
64820,51760,36918,54840,54042,9728,29704,19458,12063,16899,15873,56608
33845,20017,6967,26425,10523,12288,31496,20482,5407,16643,5377,57888
27189,13617,55,19257,6427,10496,32520,18434,9503,15107,10497,55840
4149,58160,42038,60472,58138,13312,32520,15362,9247,20739,20481,56352
37173,23857,10807,30521,10011,10496,29960,23810,1055,21251,18177,55584
65076,53552,37430,55608,55578,9984,26632,19458,62750,24835,15361,56608
11573,64304,49206,2617,61978,13312,25864,16130,5663,16643,12289,64288
33589,19761,6711,26169,10267,12288,24584,15362,61470,23043,10497,48416
10037,62000,47926,1593,63258,9728,25864,17154,6943,19715,14849,58144
31029,17201,4151,23609,10011,10752,20744,18178,63518,21507,15873,56096
37173,22577,10295,30265,11803,11008,23304,15618,61470,31491,9729,64288
34613,18993,7735,27449,11291,10752,27400,20738,56094,10499,12289,61472
32309,15409,5175,25145,9243,11008,25096,14594,61726,16643,3841,65056
13877,65328,51254,5433,64538,9728,22792,14338,56350,14083,6913,801
19765,5937,57654,11833,1563,9984,25608,14338,55326,9987,16897,56864
31285,17713,3895,24377,9243,11264,23816,15874,543,22787,14081,58656
21045,9009,59446,13369,2331,9984,23816,7682,55838,11779,6913,59680
35381,21041,8759,29241,9755,10496,25608,15362,50206,15107,10753,55328
23861,9265,61238,15929,2331,9984,28168,20738,44574,20483,4609,60192
3893,55600,40246,59192,56090,13056,33032,10498,49182,13315,11009,57376
17973,2097,54582,8505,64538,9984,27400,20482,44830,13827,9985,63264
821,52272,37174,56120,54810,10240,31752,7938,43294,28931,4097,56352
4149,56368,40246,59192,57370,10496,32008,18690,44062,15363,4609,64032
17461,2865,54582,8249,63258,14336,32264,20226,46110,15875,7937,57120
10549,62000,46902,825,61466,9728,33544,13826,40734,20739,6401,60192
11317,62768,47414,1337,62746,13568,34824,15362,39966,20483,12033,54304
17461,4401,54582,8249,283,10496,28680,14338,41246,29699,2561,56352
64820,52272,35638,54328,55322,9984,36360,17410,39454,24323,7169,58656
3637,56368,40246,59192,57626,9472,41224,15618,39198,19203,13825,64544
8757,64304,46134,64824,61722,10496,37640,15106,36126,20227,6145,2081
16693,5169,53046,7225,65050,10496,37640,8962,32286,27651,4865,62240
64820,54320,35382,54328,55834,10496,42760,12802,44574,18691,8193,59424
26933,13361,63542,17465,6683,9728,42760,17666,27166,20227,6401,61216
32053,19761,3383,23353,10523,9984,47368,19458,37662,22275,4865,60448
10549,64560,46646,569,63258,9984,43272,12546,36894,27139,64768,65056
16693,4657,52790,6969,2075,13312,53256,20482,39454,25603,3329,60448
32053,20017,2871,23353,9499,11264,45832,12290,36382,15875,257,58912
48949,36657,20279,41273,19995,11264,52488,19202,31006,22019,769,57888
19253,8241,55094,9785,1563,10240,56072,16642,34590,23555,3841,57632
4405,57904,39478,58680,57626,9472,53768,14594,32542,18691,1025,64032
35125,22833,5431,26425,10267,11264,53000,14338,30750,25347,64512,54304
31285,18481,1591,22073,7195,9984,58888,13058,32030,19459,58624,54048
20789,8753,55862,10553,2587,13824,54280,12802,32030,17411,63232,62496
54325,40753,24887,46137,22043,10752,55560,15874,22814,20483,4609,57120
35637,22321,5943,26937,9755,9984,53512,14594,24606,24835,62464,53792
37941,25905,8759,29753,12315,11264,62472,15362,36382,38915,5121,53024
24373,11313,59190,14393,3099,9984,58888,22786,22302,49411,8705,62752
7477,60464,42038,62264,58394,10496,64776,28418,28190,45827,13057,7201
9525,61232,44854,64568,61978,9728,5897,30210,31518,41987,60928,1057
20277,6705,55862,10553,4123,10496,63240,27138,37150,9987,50688,3617
28981,13105,64566,19769,7451,11776,10249,10754,40222,60162,46336,289
41525,27185,12343,33337,13339,9984,10249,23298,42526,52482,50432,58912
22069,7985,57142,12345,1563,9728,3593,16130,36894,58114,56320,35872
3381,56368,38198,58168,55578,9984,65288,15874,33054,57858,64768,19744
62260,49200,31286,50232,51482,12544,5385,16898,30494,5123,62976,18720
26421,12081,62518,16697,4123,13056,6665,20738,37150,11779,64512,22304
32309,18225,2871,22841,8475,11008,9737,21506,45086,19203,60160,24864
36917,21809,7479,27705,11035,10240,3337,22274,38942,14851,2305,32800
36149,20017,7223,27193,8731,11008,12041,25090,37918,23299,5889,36896
26677,12337,62006,16697,2587,12544,4105,33794,47390,24323,16129,50976
11829,63536,46902,825,59930,9728,4873,30978,43038,13315,18177,58144
19253,6705,54582,8761,64794,10240,4873,26882,56606,20995,6657,60192
3381,56880,38454,57400,55066,9984,2057,26370,45342,2819,36352,40736
30261,16945,55,20025,5403,10496,5129,24066,53022,10755,8193,41248
13109,817,48438,2105,62234,9728,3593,24322,56094,18435,30977,61728
46645,32817,17463,37433,17435,11008,60936,40706,52510,5635,39937,13345
65332,54576,34870,52792,54554,10752,64520,21250,48670,1283,39169,16673
2357,56624,37430,55864,55834,9472,59656,16386,59422,27907,61696,58912
35381,23089,5943,25401,11035,10752,53256,20226,52510,17923,6657,57376
32565,22065,2871,22329,10011,10240,5897,24578,44574,2563,7681,57120
31285,20529,823,20793,8731,10752,4617,23042,57630,18179,13057,46112
44853,33329,15415,35641,17179,12032,61448,25858,61726,14851,64768,40736
29749,18993,65334,19257,5147,9984,53512,17922,50206,6915,51456,44576
55860,46896,24886,42808,49434,9728,45320,17922,2335,63746,63232,55840
35381,25649,6199,25401,9755,10496,49928,13314,13599,10755,59392,45600
